Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,SERP Features,Trend
stofzuiger dyson,1300,89.47,0.74,1.00,640000,"Local Pack, Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel, FAQ","0.53,0.53,0.53,0.53,0.68,0.53,0.84,1.00,0.84,0.84,0.68,0.84"
action stofzuiger,1000,90.30,0.13,1.00,99,"Image Pack, Site Links, Reviews, Video, Adwords Top, Shopping Ads","0.45,0.45,0.45,0.55,0.63,0.81,1.00,1.00,0.81,1.00,0.63,0.81"
aquarium stofzuiger,1000,79.18,0.10,1.00,91800,"Local Pack, Image Pack, Reviews, Shopping Ads, Video Carousel","0.55,0.63,0.55,0.63,0.63,0.81,0.81,0.81,0.81,1.00,0.81,1.00"
as stofzuiger,1000,82.13,0.20,1.00,559000,"Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel, FAQ","0.30,0.25,0.25,0.20,0.20,0.42,0.67,1.00,0.79,0.67,0.42,0.42"
bouw stofzuiger,1000,82.63,0.56,1.00,431000,"Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel, FAQ","0.77,1.00,0.77,0.77,0.77,0.77,1.00,0.77,1.00,1.00,1.00,1.00"
henri stofzuiger,1000,85.01,0.52,1.00,86,"Image Pack, Site Links, Reviews, Video Carousel, FAQ","0.68,0.68,0.55,0.68,0.77,0.77,0.77,0.77,1.00,1.00,0.77,0.77"
industriele stofzuiger,1000,73.80,1.92,1.00,1290000,"Local Pack, Image Pack, Site Links, Reviews, Video Carousel, FAQ","0.45,0.55,0.63,0.63,0.55,0.55,0.81,1.00,0.63,0.81,0.81,0.63"
kirby stofzuiger,1000,76.03,0.20,1.00,72,"Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel, FAQ","0.68,0.68,0.77,1.00,0.77,0.77,1.00,1.00,1.00,1.00,1.00,0.77"
lidl stofzuiger,1000,90.08,0.16,1.00,78,"Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel","0.63,0.45,0.63,0.63,0.55,0.55,0.63,0.81,0.55,1.00,0.81,0.55"
numatic stofzuiger,1000,83.40,0.68,1.00,93,"Local Pack, Top Stories, Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, Video Carousel, FAQ","0.68,0.77,0.68,0.68,0.68,0.77,0.77,0.77,0.77,1.00,1.00,1.00"
sauber stofzuiger,1000,86.87,0.17,1.00,64,"Image Pack, Reviews, Shopping Ads, Video Carousel, FAQ","0.88,1.00,1.00,0.88,0.88,0.88,0.88,0.88,1.00,1.00,1.00,1.00"
siemens stofzuiger,1000,86.86,0.17,1.00,83,"Image Pack, Reviews, Shopping Ads, Video Carousel, FAQ","0.55,0.63,0.55,0.81,0.81,0.63,0.63,0.63,0.63,1.00,0.63,0.81"
stofzuiger mediamarkt,1000,94.52,0.28,1.00,80,"Image Pack, Reviews, Shopping Ads, Video Carousel, FAQ","0.63,0.81,0.63,0.63,0.81,0.63,0.81,0.81,0.81,1.00,0.63,0.81"
stofzuiger zakloos,1000,91.42,0.58,1.00,89,"Local Pack, Image Pack, Site Links, Reviews, Video Carousel, FAQ","0.77,0.77,0.77,0.77,0.77,0.68,0.77,0.77,0.77,0.77,0.68,1.00"
cycloon stofzuiger,880,83.52,0.29,1.00,85,"Image Pack, Site Links, Reviews, Video, Shopping Ads, Video Carousel, FAQ","0.06,0.05,0.06,0.07,0.07,0.07,0.06,0.04,0.05,0.05,1.00,0.13"
electrolux stofzuiger,880,83.59,0.16,1.00,69,"Local Pack, Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel, FAQ","0.82,0.82,0.82,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
kinder stofzuiger,880,86.25,0.16,1.00,160000,"Image Pack, Reviews, Shopping Ads, Video Carousel","0.30,0.45,0.30,0.37,0.45,0.55,0.81,1.00,0.63,0.45,0.45,0.55"
miele stofzuiger onderdelen,880,75.25,0.33,1.00,64,"Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, FAQ","0.72,0.88,0.72,0.72,0.88,0.88,1.00,0.88,0.88,0.88,0.88,1.00"
mini stofzuiger,880,86.87,0.27,1.00,1010000,"Local Pack, Image Pack, Reviews, Shopping Ads, Video Carousel, FAQ","0.55,0.68,0.68,0.68,0.68,0.68,0.68,1.00,0.77,0.68,0.68,0.68"
samsung stofzuiger,880,90.14,0.26,1.00,89,"Image Pack, Reviews, Shopping Ads, Video Carousel, FAQ","0.72,1.00,0.72,0.72,0.72,0.72,0.88,0.88,0.88,1.00,0.88,1.00"
stofzuiger action,880,89.80,0.13,1.00,89,"Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, Video Carousel","0.45,0.55,0.45,0.55,0.68,0.68,1.00,0.77,0.77,1.00,0.77,0.77"
stofzuiger met zak,880,88.84,0.55,1.00,1010000,"Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, Video Carousel","0.72,0.88,0.72,0.72,0.88,0.72,0.72,1.00,0.88,1.00,0.72,1.00"
stofzuiger test,880,84.93,0.28,1.00,334000,"Site Links, Reviews, Featured Snippet, Adwords Top, Shopping Ads, Video Carousel, FAQ","0.88,1.00,0.72,0.88,0.88,0.88,0.88,0.88,1.00,1.00,0.88,0.88"
stofzuiger zwembad,880,82.13,0.76,1.00,301000,"Local Pack, Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel","0.05,0.07,0.82,1.00,0.36,0.02,0.03,0.01,0.01,0.01,0.02,0.02"
stofzuigers vergelijken,880,84.38,0.98,1.00,88,"Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, Video Carousel, FAQ","0.72,0.72,0.59,0.72,0.72,0.88,0.88,1.00,1.00,1.00,0.88,1.00"
teletubbies stofzuiger,880,84.89,0.00,0.50,4480,"Image Pack, Site Links, Reviews, Video Carousel","0.48,0.59,0.59,0.72,0.72,1.00,1.00,1.00,0.88,1.00,1.00,1.00"
water stofzuiger,880,83.82,0.58,1.00,8,"Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel","0.59,0.72,1.00,1.00,0.88,0.88,0.88,0.72,0.72,0.88,0.88,1.00"
aldi stofzuiger,720,83.47,0.27,1.00,74,"Image Pack, Site Links, Reviews, Video Carousel, FAQ","0.39,0.39,0.59,0.48,0.59,0.32,0.59,0.72,0.88,0.88,1.00,0.48"
best geteste stofzuiger,720,80.95,0.34,1.00,109000,"Site Links, Reviews, Featured Snippet, Adwords Top, Shopping Ads, Video Carousel, FAQ","0.67,1.00,0.67,0.82,0.82,0.82,0.82,1.00,1.00,1.00,0.82,1.00"
beste stofzuiger 2019,720,80.27,0.39,1.00,446000,"Site Links, Reviews, Featured Snippet, Video Carousel, FAQ","0.59,0.72,0.59,0.72,0.88,0.72,0.72,1.00,1.00,0.72,0.39,0.39"
bol com stofzuiger,720,84.67,0.34,1.00,46,"Image Pack, Site Links, Reviews, Shopping Ads","0.59,0.72,0.59,0.72,0.72,0.59,0.88,1.00,0.88,0.88,0.72,0.88"
bosch snoerloze stofzuiger,720,86.26,0.33,1.00,90,"Image Pack, Reviews, Video, Shopping Ads, Video Carousel","0.38,0.38,0.17,0.17,0.17,0.25,0.31,0.53,1.00,0.53,0.25,0.25"
consumentenbond stofzuiger,720,85.53,0.71,1.00,88,"Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, Video Carousel, FAQ","0.67,0.82,0.67,0.82,1.00,0.82,0.82,1.00,0.82,1.00,0.82,1.00"
dirt devil stofzuiger,720,86.51,0.24,1.00,69,"Image Pack, Reviews, Shopping Ads, Video Carousel, FAQ","0.67,0.82,0.82,0.82,0.82,0.67,0.67,0.82,0.67,0.82,0.67,1.00"
stofzuiger aeg,720,88.71,0.30,1.00,85,"Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, Video Carousel","0.30,0.77,0.45,0.37,0.45,0.45,0.45,1.00,0.68,0.55,0.55,0.55"
stofzuiger draadloos,720,91.06,0.59,1.00,171000,"Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, Video Carousel, FAQ","0.48,0.88,0.59,0.59,0.59,0.72,0.88,1.00,1.00,0.88,0.88,1.00"
stofzuiger goedkoop,720,85.99,0.26,1.00,224000,"Local Pack, Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel, FAQ","0.72,0.88,0.88,0.72,0.72,0.72,0.88,0.88,0.72,0.88,0.72,1.00"
beste draadloze stofzuiger,590,82.68,0.64,1.00,205000,"Reviews, Featured Snippet, Video Carousel, FAQ","0.39,0.48,0.48,0.39,0.48,0.48,0.59,0.88,0.88,0.88,0.59,1.00"
beste koop stofzuiger,590,83.25,0.35,1.00,323000,"Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, Video Carousel, FAQ","1.00,1.00,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.00,0.82,1.00"
bestron stofzuiger,590,85.01,0.22,1.00,77,"Image Pack, Reviews, Shopping Ads, Video Carousel","0.48,0.48,0.39,0.48,0.72,1.00,0.48,0.48,0.72,0.72,0.48,0.59"
bosch draadloze stofzuiger,590,87.10,0.29,1.00,85,"Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel","0.68,0.55,0.20,0.20,0.20,0.20,0.30,0.55,1.00,0.77,0.25,0.30"
de beste stofzuiger,590,82.08,0.77,1.00,1860000,"Site Links, Reviews, Adwords Top, Adwords Bottom, Shopping Ads","0.67,0.82,0.67,0.67,0.82,0.67,0.82,1.00,1.00,1.00,0.82,0.82"
hand stofzuiger,590,88.59,0.33,1.00,1440000,"Image Pack, Site Links, Reviews, Video, Shopping Ads, FAQ","0.55,0.67,0.67,0.67,0.82,0.82,0.82,0.82,0.82,0.82,0.67,1.00"
inventum stofzuiger,590,88.86,0.29,1.00,87,"Knowledge Panel, Local Pack, Reviews, Video, Image, Shopping Ads","0.59,0.72,0.39,0.59,0.59,0.48,0.59,0.59,0.72,1.00,0.72,0.88"
miele stofzuiger aanbieding,590,85.01,0.33,1.00,72,"Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, FAQ","0.67,0.82,0.82,0.67,1.00,0.82,0.82,1.00,1.00,1.00,0.82,1.00"
stofzuiger borstel,590,82.79,0.22,1.00,521000,"Local Pack, Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel, FAQ","0.67,0.67,0.54,0.67,0.67,0.82,1.00,0.82,0.67,0.82,0.82,0.82"
stofzuiger coolblue,590,84.79,0.32,1.00,48,"Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, Video Carousel, FAQ","0.67,0.82,0.67,0.82,0.82,0.67,0.67,0.82,0.82,1.00,0.82,0.82"
stofzuiger engels,590,87.25,0.00,0.01,193000,"Instant Answer, Reviews, Video, FAQ","1.00,1.00,0.82,0.82,0.82,1.00,1.00,0.82,0.82,1.00,1.00,1.00"
stofzuiger hetty,590,82.49,0.22,1.00,91,"Image Pack, Site Links, Reviews, Video, Shopping Ads, Video Carousel, FAQ","0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.00,1.00,1.00,1.00,0.82"
stofzuiger zonder snoer,590,89.96,0.66,1.00,287000,"Site Links, Reviews, Shopping Ads, Video Carousel, FAQ","0.55,0.67,0.55,0.55,0.55,0.67,0.67,0.82,1.00,0.82,0.67,0.67"
test stofzuigers,590,84.00,0.25,1.00,200000,"Site Links, Reviews, Featured Snippet, Adwords Top, Adwords Bottom, Shopping Ads, Video Carousel, FAQ","0.67,0.82,0.67,0.67,0.82,0.82,0.67,1.00,0.82,1.00,0.82,0.82"
beste snoerloze stofzuiger,480,85.43,0.62,1.00,1500000,"Site Links, Reviews, Featured Snippet, Adwords Top, Adwords Bottom, Shopping Ads, Video Carousel, FAQ","0.36,0.55,0.36,0.36,0.55,0.44,0.55,0.82,1.00,0.82,0.55,0.82"
beste zakloze stofzuiger,480,77.20,0.91,1.00,83000,"Site Links, Reviews, Adwords Top, Adwords Bottom, Shopping Ads, Video Carousel, FAQ","0.66,0.81,0.66,0.66,0.66,0.66,0.66,1.00,0.81,0.81,0.66,1.00"
expert stofzuiger,480,85.97,0.22,1.00,97,"Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, Video Carousel, FAQ","0.67,0.67,0.67,0.54,0.67,0.67,0.82,0.82,0.82,1.00,0.67,0.82"
gamma stofzuiger,480,88.02,0.11,1.00,83,"Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel","1.00,1.00,0.81,1.00,1.00,0.81,0.81,1.00,1.00,0.81,1.00,1.00"
industrie stofzuiger,480,74.77,2.19,1.00,254000,"Image Pack, Site Links, Reviews, Adwords Top, Adwords Bottom, Shopping Ads, Video Carousel","0.66,0.66,0.81,0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.66"
intex stofzuiger,480,76.80,0.14,1.00,96,"Local Pack, Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel","0.05,0.09,0.67,1.00,0.37,0.03,0.02,0.01,0.00,0.01,0.01,0.02"
kieskeurig stofzuiger,480,87.97,0.62,1.00,24,"Image Pack, Site Links, Reviews, Video Carousel","0.81,1.00,0.66,1.00,1.00,1.00,0.81,1.00,0.81,1.00,0.66,1.00"
krachtige stofzuiger,480,86.76,0.40,1.00,793000,"Site Links, Reviews, Video Carousel, FAQ","0.54,0.82,0.54,0.67,0.82,0.67,0.67,0.67,0.67,0.82,0.67,1.00"
starmix stofzuiger,480,79.49,0.41,1.00,66,"Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel, FAQ","0.81,0.81,1.00,0.81,0.66,0.66,0.81,0.81,0.81,0.81,0.81,1.00"
stofzuig robot,480,88.76,0.73,1.00,51200,"Site Links, Reviews, Video, Adwords Top, Video Carousel, FAQ","0.67,0.82,0.54,0.82,0.67,0.82,0.82,1.00,0.82,0.67,0.67,0.82"
stofzuiger bcc,480,88.66,0.23,1.00,37,"Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, FAQ","0.66,1.00,0.66,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81"
stofzuiger best getest,480,82.40,0.55,1.00,73800,"Site Links, Reviews, Featured Snippet, Adwords Top, Video Carousel, FAQ","0.66,0.81,0.66,0.66,0.81,0.81,0.81,1.00,0.81,1.00,0.66,1.00"
stofzuiger beste koop,480,83.15,0.31,1.00,284000,"Image Pack, Site Links, Reviews, Video, Adwords Top, Shopping Ads, Video Carousel, FAQ","0.81,1.00,0.81,0.66,1.00,0.81,0.81,1.00,0.81,1.00,0.81,1.00"
stofzuiger bol com,480,84.88,0.42,1.00,40,"Image Pack, Site Links, Reviews, Shopping Ads","0.66,0.81,0.66,0.66,0.81,0.81,0.81,1.00,1.00,1.00,0.81,1.00"
stofzuiger geluid,480,87.82,0.43,0.82,441000,"Knowledge Panel, Image Pack, Reviews, Video Carousel","0.81,0.81,0.66,0.66,0.66,0.81,0.81,0.66,0.81,1.00,0.81,1.00"
stofzuiger lidl,480,90.45,0.19,1.00,81,"Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, Video Carousel","0.67,0.54,0.67,0.82,0.67,0.67,0.82,0.82,0.67,1.00,1.00,0.82"
stofzuiger sale,480,89.28,0.33,1.00,213000,"Local Pack, Image Pack, Site Links, Reviews, Shopping Ads, FAQ","0.36,0.66,0.54,0.81,0.81,0.66,0.81,0.81,1.00,1.00,0.81,1.00"
stofzuiger snoerloos,480,89.42,0.62,1.00,53000,"Image Pack, Site Links, Reviews, Video, Shopping Ads, Video Carousel, FAQ","0.54,0.67,0.36,0.54,0.54,0.54,0.54,0.82,1.00,0.82,0.54,0.82"
tristar stofzuiger,480,86.72,0.14,1.00,80,"Local Pack, Image Pack, Reviews, Shopping Ads, Video Carousel, FAQ","0.44,0.55,0.36,0.55,0.67,1.00,0.67,0.82,0.67,0.67,0.55,0.82"
verleden tijd stofzuigen,480,84.42,0.00,0.01,57600,"Reviews, Video, Featured Snippet","0.67,0.67,0.54,0.54,0.67,0.67,0.82,0.67,0.67,0.82,0.67,1.00"
vijver stofzuiger,480,75.26,0.31,1.00,155000,"Local Pack, Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel","1.00,1.00,1.00,0.67,0.82,0.30,0.19,0.16,0.13,0.13,0.24,0.82"
xiaomi stofzuiger,480,87.46,0.32,1.00,83,"Image Pack, Reviews, Shopping Ads, Video Carousel, FAQ","0.36,0.54,0.67,0.54,0.67,0.67,0.82,1.00,0.67,0.82,0.54,0.82"
bosch accu stofzuiger,390,86.35,0.26,1.00,87,"Image Pack, Reviews, Shopping Ads, Video Carousel","0.59,0.59,0.26,0.17,0.17,0.21,0.21,0.59,1.00,0.88,0.26,0.21"
dyson snoerloze stofzuiger,390,89.13,0.62,1.00,82,"Image Pack, Reviews, Adwords Top, Shopping Ads, Video Carousel","0.19,0.24,0.19,0.24,0.44,0.30,0.44,0.55,0.44,0.44,1.00,0.36"
dyson stofzuiger aanbieding,390,88.09,0.66,1.00,78,"Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel, FAQ","0.44,0.66,0.81,0.66,0.66,0.66,0.54,0.81,0.66,0.81,0.81,1.00"
