Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
rob ammerlaan,5,5,70,74.83,0.00,https://socialbrothers.nl/koffiemoment-met-andrew/rob-3/,3,0.33,0.00,0,93,"[29,14,29,14,100,100,14,14,14,14,14,29]",1590533216,"Image pack, Site links"
uber utrecht,5,5,720,83.46,0.71,https://socialbrothers.nl/uber-utrecht-mijn-eerste-keer/,7,0.77,4.50,0.28,1700000,"[67,100,100,82,82,82,82,100,100,67,67,36]",1591140404,"Image pack, Reviews, Video, Video Carousel, FAQ"
recras,5,10,390,67.09,1.78,https://socialbrothers.nl/portf/recras-koppeling-en-integratie/,3,0.33,6.30,0.2,52,"[100,100,100,100,82,100,82,82,82,100,82,82]",1591530533,"Knowledge panel, Image pack, Site links, Reviews, Video"
uber ervaringen,5,5,70,83.78,0.67,https://socialbrothers.nl/uber-utrecht-mijn-eerste-keer/,3,0.33,1.80,0.21,153000,"[14,14,14,14,14,29,43,14,100,14,14,14]",1590893537,Reviews
e learning virtual reality,5,5,50,55.33,0.00,https://socialbrothers.nl/voordelen-van-e-learning-met-augmented-reality-ar-learning/,2,0.22,0.00,0.71,275000000,"[11,11,78,0,11,11,11,100,22,11,11,11]",1589506448,"Image pack, Reviews, AdWords top, AdWords bottom, Video Carousel"
ar in marketing,5,5,50,55.99,0.00,https://socialbrothers.nl/hoe-kan-je-augmented-reality-ar-toepassen-in-je-marketing/,2,0.22,0.00,0.07,1110000000,"[25,25,100,75,0,25,100,25,50,25,25,75]",1589636443,"Local pack, Image pack, Reviews, Video Carousel"
uber utrecht centraal,5,5,40,81.64,0.75,https://socialbrothers.nl/uber-utrecht-mijn-eerste-keer/,0,0,0.00,0.32,723000,"[25,75,25,25,25,75,25,100,25,75,25,100]",1589344196,"Reviews, Video, AdWords top, FAQ"
augmented reality marketing,5,5,50,65.5,1.06,https://socialbrothers.nl/hoe-kan-je-augmented-reality-ar-toepassen-in-je-marketing/,2,0.22,1.80,0.08,48500000,"[29,43,100,43,14,71,14,14,14,14,14,14]",1591115352,"Reviews, Video Carousel, FAQ"
lens ar,5,5,40,72.84,0.00,https://socialbrothers.nl/creeer-je-eigen-ar-lenzen-voor-snapchat-met-lens-studio/,2,0.22,0.00,0.71,273000000,"[50,100,25,0,0,75,25,25,0,25,25,25]",1588786544,"Top stories, Site links, Reviews, Shopping ads, Video Carousel, FAQ"
hulpmiddelbezorgd,6,6,170,75.46,0.00,https://socialbrothers.nl/portf/een-strakke-website-voor-hulpmiddelbezorgd-nl/,1,0.11,0.00,0.01,45,"[44,44,44,44,44,34,44,34,44,53,81,100]",1589967262,"Knowledge panel, Image pack, Site links, Reviews, Video, Video Carousel"
snap camera snapchat,6,6,50,78.26,0.00,https://socialbrothers.nl/hoe-gebruik-je-de-snapchat-camera-op-zoom/,0,0,0.00,0,19600000,"[50,50,0,0,50,100,50,50,0,100,0,50]",1591219767,"Site links, Reviews, Video, Video Carousel"
recras,6,0,390,67.09,1.78,https://socialbrothers.nl/recras-koppeling/,3,0.33,6.30,0.2,52,"[100,100,100,100,82,100,82,82,82,100,82,82]",1591530533,"Knowledge panel, Image pack, Site links, Reviews, Video"
augmented reality educatie,6,6,50,55.82,0.00,https://socialbrothers.nl/voordelen-van-e-learning-met-augmented-reality-ar-learning/,2,0.22,0.00,0,87300,"[0,0,33,33,0,100,33,33,33,33,0,33]",1589326961,"Image pack, Video Carousel"
studio snap,7,7,90,65.01,0.00,https://socialbrothers.nl/creeer-je-eigen-ar-lenzen-voor-snapchat-met-lens-studio/,3,0.33,0.00,0.02,139000000,"[11,56,11,22,11,100,11,78,22,22,22,11]",1590787810,"Knowledge panel, Image pack, Site links, Reviews, Video Carousel"
brothers agency,7,7,50,45.14,0.00,https://socialbrothers.nl/digital-agency-social-brothers-krijgt-een-wordpress-broertje-wp-brothers/,2,0.22,0.00,0,271000000,"[67,100,33,33,67,33,67,67,33,0,33,67]",1589360056,"Local pack, Site links, Reviews, FAQ"
ar ar,7,7,70,75.8,0.00,https://socialbrothers.nl/hoe-kan-je-augmented-reality-ar-toepassen-in-je-marketing/,2,0.22,0.00,0.08,4260000000,"[29,14,100,14,14,14,14,29,14,14,14,14]",1590007136,"Knowledge panel, Local pack, Top stories, Site links, Reviews, Video Carousel"
volumeknop toetsenbord werkt niet,7,7,50,86.33,0.00,https://socialbrothers.nl/wat-als-jouw-macbook-volume-niet-omhoog-kan/,2,0.22,0.00,0,39000,"[22,11,11,11,22,100,11,11,11,11,11,11]",1589985456,"Image pack, Reviews"
voice assistant,7,7,390,76.53,0.38,https://socialbrothers.nl/voice-assistant-aan-de-praat-krijgen-2/,15,1.67,5.40,0.07,571000000,"[67,81,81,81,54,81,100,100,100,100,100,81]",1591181765,"Site links, Reviews, Video Carousel"
ar je,7,7,50,70.67,0.00,https://socialbrothers.nl/hoe-kan-je-augmented-reality-ar-toepassen-in-je-marketing/,2,0.22,0.00,0,1660000000,"[14,14,14,100,0,0,0,0,0,0,29,0]",1589669666,"Reviews, Video Carousel"
voice app,8,8,260,76.48,4.59,https://socialbrothers.nl/hoe-lanceer-ik-een-voice-app/,7,0.77,35.10,0.05,1390000000,"[13,10,13,10,13,19,19,100,44,36,36,24]",1591137400,"Reviews, Video Carousel"
lens snapchat,8,8,40,78.12,0.00,https://socialbrothers.nl/creeer-je-eigen-ar-lenzen-voor-snapchat-met-lens-studio/,0,0,0.00,0,18000000,"[33,33,100,33,33,33,33,67,33,33,33,33]",1589427405,"Image pack, Site links, Reviews, Video Carousel, FAQ"
fte groep,8,8,210,68.1,0.97,https://socialbrothers.nl/portf/fte-groep/,1,0.11,0.90,0.12,706000,"[81,81,81,54,81,65,81,100,81,81,81,81]",1589261949,"Knowledge panel, Image pack, Site links, Reviews, Video"
uber s nachts,8,8,50,84.92,0.00,https://socialbrothers.nl/uber-utrecht-mijn-eerste-keer/,0,0,0.00,0.14,42700000,"[29,14,14,100,14,43,14,14,14,14,14,29]",1591121454,"Reviews, Video, FAQ"
functietoetsen mac werken niet,8,8,50,85.64,0.00,https://socialbrothers.nl/wat-als-jouw-macbook-volume-niet-omhoog-kan/,1,0.11,0.00,0,100,"[20,20,60,40,20,20,20,20,100,20,20,20]",1590305550,"Image pack, Reviews, Video, Featured snippet"
landing page tips,8,8,50,64.33,0.00,https://socialbrothers.nl/3-tips-voor-een-goede-landing-page/,1,0.11,0.00,0.14,142000000,"[100,57,14,14,29,14,14,14,29,29,71,14]",1590769823,"Featured snippet, Video Carousel, FAQ"
wat is een ar lens,8,8,50,72.11,0.00,https://socialbrothers.nl/creeer-je-eigen-ar-lenzen-voor-snapchat-met-lens-studio/,1,0.11,0.00,0,3540000,"[43,14,29,14,43,14,14,43,14,43,100,0]",1589387825,"Image pack, Reviews, Video, Featured snippet, FAQ"
gestolen laptop terugvinden,8,8,40,84.68,0.00,https://socialbrothers.nl/laptop-gestolen-wat-nu/,1,0.11,0.00,0.32,16800,"[22,11,33,33,11,11,11,100,11,11,11,44]",1591408899,Video Carousel
werken bij website,9,9,210,58.21,2.69,https://socialbrothers.nl/wat-maakt-een-goede-werken-bij-website/,6,0.66,16.20,0.77,147000000,"[100,100,100,81,65,54,65,42,65,65,65,65]",1589539878,"AdWords top, AdWords bottom"
landingpage,9,9,260,63.2,2.38,https://socialbrothers.nl/3-tips-voor-een-goede-landing-page/,7,0.77,18.00,0.37,600000000,"[81,81,66,66,66,81,100,81,66,81,81,100]",1591147542,"Knowledge panel, Reviews, Featured snippet, AdWords top, Video Carousel, FAQ"
snapchat camera zoomed in,9,9,50,80.44,0.00,https://socialbrothers.nl/hoe-gebruik-je-de-snapchat-camera-op-zoom/,0,0,0.00,0,160000,"[0,0,0,0,0,0,25,25,75,25,100,25]",1589269144,"Image pack, Reviews, Video Carousel, People also ask"
werken bij pagina,10,10,40,63.33,1.42,https://socialbrothers.nl/wat-maakt-een-goede-werken-bij-website/,1,0.11,0.90,0.5,136000000,"[9,27,9,9,64,9,100,9,27,9,9,18]",1588786348,
debuut bv,10,10,110,72.23,0.00,https://socialbrothers.nl/mailchimp-opschoning-debuut-b-v/,0,0,0.00,0,533000,"[65,82,82,82,82,65,53,100,82,53,82,53]",1589590347,"Knowledge panel, Image pack, Site links, Reviews, Video, Video Carousel"
lens studio snapchat code,10,10,50,77.42,0.00,https://socialbrothers.nl/creeer-je-eigen-ar-lenzen-voor-snapchat-met-lens-studio/,0,0,0.00,0.01,2650000,"[0,0,0,25,25,25,25,100,50,25,25,50]",1588890651,"Image pack, Reviews, Video, Video Carousel, People also ask"
hubspot services,10,10,50,58.62,2.01,https://socialbrothers.nl/dienst/hubspot/,0,0,0.00,0.22,11400000,"[11,11,11,22,11,11,11,11,11,11,22,100]",1591195732,"Site links, Reviews, Video Carousel"
restaurant marketing consultant,10,10,50,53.38,0.00,https://socialbrothers.nl/5-online-marketing-tips-voor-restaurants/,1,0.11,0.00,0.86,64800000,"[0,0,100,0,0,0,0,0,0,0,100,100]",1588959571,"Local pack, Image pack, Reviews"
landing page,10,9,1300,59.65,2.34,https://socialbrothers.nl/3-tips-voor-een-goede-landing-page/,39,4.34,90.89,0.4,357000000,"[81,81,81,63,63,81,100,81,81,100,81,100]",1591536641,"Knowledge panel, Reviews, Featured snippet, AdWords top, FAQ"
google analytics n,10,10,90,83.88,0.00,https://socialbrothers.nl/google-analytics-waar-kijk-je-naar/,0,0,0.00,0,1330000000,"[25,0,0,0,0,50,25,0,25,100,25,25]",1591365410,"Site links, Reviews"
web site development,10,10,480,61.83,2.91,https://socialbrothers.nl/dienst/website-development/,14,1.55,41.40,0.69,2890000000,"[26,26,26,59,100,48,48,48,32,39,39,39]",1591347890,"Knowledge panel, Local pack, Site links, FAQ"
realleif,10,10,50,82.65,0.00,https://socialbrothers.nl/social-media-vs-real-life/,1,0.11,0.00,0,9560000000,"[0,0,0,0,0,0,0,100,0,0,0,0]",1589028172,"Instant answer, Local pack, Image pack, Reviews, Video Carousel"
geluid mac geblokkeerd,10,10,50,81.84,0.00,https://socialbrothers.nl/wat-als-jouw-macbook-volume-niet-omhoog-kan/,0,0,0.00,0,97,"[78,56,11,11,33,22,11,44,11,11,11,100]",1590389251,"Image pack, Reviews, Video, Featured snippet, FAQ"
het complete handboek,10,10,40,76.91,0.00,https://socialbrothers.nl/het-complete-handboek-voor-seo/,1,0.11,0.00,0,1010000,"[11,11,11,11,22,0,11,100,11,0,11,0]",1591033717,"Image pack, Reviews, Shopping ads, Video Carousel"
geluid macbook doet het niet,10,10,260,85.46,0.00,https://socialbrothers.nl/wat-als-jouw-macbook-volume-niet-omhoog-kan/,7,0.77,0.00,0.01,247000,"[29,29,36,29,36,54,54,66,54,66,29,100]",1591146555,Image pack
snapchat camera filters,11,11,50,83.23,0.00,https://socialbrothers.nl/hoe-gebruik-je-de-snapchat-camera-op-zoom/,0,0,0.00,0.08,9180000,"[11,11,11,11,56,11,11,11,11,100,11,11]",1591228794,"Site links, Reviews, AdWords top, Video Carousel, People also ask"
restaurant bureau iens,11,11,50,73.5,0.00,https://socialbrothers.nl/waarom-iens-niets-misdaan-heeft/,2,0.22,0.00,0.14,65,"[25,0,0,0,0,50,0,0,0,25,0,100]",1590533511,"Knowledge panel, Image pack, Reviews"
snapchat lenses,11,11,390,81.08,0.97,https://socialbrothers.nl/creeer-je-eigen-ar-lenzen-voor-snapchat-met-lens-studio/,3,0.33,2.70,0.03,2900000,"[67,100,54,54,54,54,54,44,44,54,44,54]",1591135743,"Image pack, Site links, Reviews, Video Carousel"
real live of real life,11,11,50,84.39,0.00,https://socialbrothers.nl/social-media-vs-real-life/,2,0.22,0.00,0,8170000000,"[11,11,11,22,11,22,11,100,11,11,11,11]",1590776322,"Knowledge panel, Image pack, Reviews, Video Carousel, People also ask"
local online marketing tips,11,11,50,57.06,0.00,https://socialbrothers.nl/5-online-marketing-tips-voor-restaurants/,2,0.22,0.00,0,342000000,"[0,0,0,0,100,0,0,100,0,100,100,0]",1590188320,"Image pack, Reviews"
icarius,11,11,110,71.32,0.00,https://socialbrothers.nl/portf/icarius/,1,0.11,0.00,0,201000,"[79,64,79,79,79,64,79,100,64,64,79,79]",1589877678,"Knowledge panel, Image pack, Site links, Reviews, Video, Video Carousel"
helderheid macbook kapot,11,11,90,83.54,0.00,https://socialbrothers.nl/wat-als-jouw-macbook-volume-niet-omhoog-kan/,4,0.44,0.00,0.01,71,"[0,0,0,0,0,0,0,33,67,67,100,100]",1590831216,"Image pack, Reviews, Featured snippet, FAQ"
privacy statement 2018,11,11,90,75.96,0.00,https://socialbrothers.nl/wp-content/uploads/2018/06/Privacy_Statement_Social_Brothers_Mei_2018.pdf,4,0.44,0.00,0,10100000000,"[20,20,20,0,0,0,0,0,0,100,0,0]",1590907597,
adsysco,12,12,140,65.09,0.00,https://socialbrothers.nl/regicare-koppeling/adsysco_logo_2000x688/,0,0,0.00,0,65,"[82,100,82,82,82,65,100,100,100,82,100,100]",1589154649,"Knowledge panel, Image pack, Site links"
in this real life,12,12,70,80.59,0.00,https://socialbrothers.nl/social-media-vs-real-life/,0,0,0.00,0,10300000000,"[0,0,0,0,0,0,0,0,0,0,100,0]",1591284953,"Image pack, Site links, Reviews, Video, Video Carousel"
bankpas op je telefoon,12,12,40,83.51,0.89,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.24,120000,"[0,80,20,20,20,20,100,60,20,20,20,20]",1589784617,"Site links, Reviews, Video Carousel, FAQ"
blog icon,12,12,210,76.94,0.00,https://socialbrothers.nl/dienst/online-marketing/,0,0,0.00,0,2810000000,"[44,34,44,44,66,81,100,100,81,53,81,81]",1590766469,Image pack
spar university nijmegen,12,12,260,78.48,0.00,https://socialbrothers.nl/spar-university-app-een-groot-succes/spar-university-nijmegen-5/,0,0,0.00,0,57,"[54,44,67,54,44,35,54,100,54,81,100,44]",1590870878,"Knowledge panel, Image pack, Site links, Reviews, Video Carousel"
real life,12,12,1900,81.42,0.00,https://socialbrothers.nl/social-media-vs-real-life/,24,2.67,0.00,0,9430000000,"[55,55,55,55,55,83,55,66,55,55,55,100]",1591462346,"Instant answer, Local pack, Image pack, Reviews, Video, Video Carousel"
landing page expert,12,12,90,52.41,0.00,https://socialbrothers.nl/3-tips-voor-een-goede-landing-page/,1,0.11,0.00,0,89500000,"[0,0,0,100,0,0,0,0,100,0,0,0]",1590515201,"Image pack, Reviews, Video, Video Carousel, FAQ"
blog snapchat,12,12,70,66.91,0.00,https://socialbrothers.nl/creeer-je-eigen-ar-lenzen-voor-snapchat-met-lens-studio/,0,0,0.00,0,272000000,"[22,33,11,100,11,0,0,0,0,0,56,0]",1589020547,Site links
snapchat ar filters download,12,12,70,62.23,0.00,https://socialbrothers.nl/creeer-je-eigen-ar-lenzen-voor-snapchat-met-lens-studio/,0,0,0.00,0,1600000,"[100,0,0,0,0,0,0,0,0,0,0,0]",1590280451,"Image pack, Reviews, Video, Video Carousel, People also ask"
eenstapvoor,13,13,50,75.19,0.56,https://socialbrothers.nl/hoe-doe-je-seo-onderzoek-een-stap-voor-stapgids/,0,0,0.00,0.07,969000,"[100,33,33,33,33,33,33,33,67,100,33,33]",1591004225,"Knowledge panel, Image pack, Site links, Reviews, Video, Video Carousel"
was ist landing page,13,13,50,59.89,0.00,https://socialbrothers.nl/3-tips-voor-een-goede-landing-page/,0,0,0.00,0,520000000,"[0,0,0,0,0,0,0,100,0,0,0,0]",1589027450,"Instant answer, Knowledge panel, Site links, Reviews, Video Carousel, People also ask, FAQ"
blog icon,13,13,210,76.94,0.00,https://socialbrothers.nl/online-onderscheiden-doe-je-offline/,0,0,0.00,0,2810000000,"[44,34,44,44,66,81,100,100,81,53,81,81]",1590766469,Image pack
snap logo,13,12,390,75.77,0.00,https://socialbrothers.nl/5-sociale-media-om-zetten-privecommunicatie/snapchat-logo-2/,3,0.33,0.00,0,761000000,"[12,24,36,29,100,100,66,66,66,81,81,66]",1591499438,"Image pack, Site links, Reviews"
toetsen macbook werken niet,13,13,70,81.87,0.00,https://socialbrothers.nl/wat-als-jouw-macbook-volume-niet-omhoog-kan/,0,0,0.00,0,85,"[40,20,60,40,20,40,20,20,20,20,100,20]",1591285445,"Image pack, Reviews"
seo app,13,13,140,72.02,1.36,https://socialbrothers.nl/het-complete-handboek-voor-seo/,1,0.11,0.90,0.06,394000000,"[100,79,79,100,100,79,79,79,100,100,100,79]",1591384433,"Reviews, Video Carousel, FAQ"
is real life,13,13,90,81.26,0.00,https://socialbrothers.nl/social-media-vs-real-life/,0,0,0.00,0,9560000000,"[0,0,0,0,0,0,0,0,0,40,100,0]",1591479950,"Knowledge panel, Reviews, Video Carousel, People also ask"
leadfeeder contacts,13,13,90,56.91,0.00,https://socialbrothers.nl/maak-van-elke-websitebezoeker-een-saleslead-met-leadfeeder/,0,0,0.00,0,46500,"[0,0,100,20,20,20,0,0,20,20,0,0]",1589176272,"Site links, Reviews, AdWords top, AdWords bottom, Video Carousel"
wordpress agency,13,13,40,56.02,1.57,https://socialbrothers.nl/digital-agency-social-brothers-krijgt-een-wordpress-broertje-wp-brothers/,0,0,0.00,0.56,223000000,"[18,27,36,9,18,27,36,18,18,100,100,18]",1589182726,"Local pack, Site links, Reviews, FAQ"
bankpas op je mobiel,13,13,50,84.9,1.03,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.22,108000,"[0,0,0,0,0,0,0,0,0,50,50,100]",1589671359,"Site links, Reviews, Featured snippet, Video Carousel, FAQ"
logo van houten,13,13,70,56.82,0.42,https://socialbrothers.nl/regicare-koppeling/van_houten_en_co_logo/,0,0,0.00,0.93,40000000,"[100,20,20,20,20,20,20,20,20,20,20,40]",1590784715,"Image pack, Reviews"
uber taxi gouda,13,13,90,70.61,1.28,https://socialbrothers.nl/uber-utrecht-mijn-eerste-keer/,0,0,0.00,0.51,57,"[75,25,25,25,25,100,50,25,25,25,50,25]",1589211216,"Image pack, Reviews, AdWords top, FAQ"
snapchat logo,13,13,3600,77.87,0.00,https://socialbrothers.nl/5-sociale-media-om-zetten-privecommunicatie/snapchat-logo-2/,6,0.66,0.00,0,285000000,"[11,12,23,23,100,67,54,54,44,67,54,54]",1591529840,"Image pack, Reviews, Video, Video Carousel"
ar,13,13,8100,86.74,0.97,https://socialbrothers.nl/hoe-kan-je-augmented-reality-ar-toepassen-in-je-marketing/,72,8.01,70.19,0.04,5960000000,"[82,82,67,67,67,82,82,82,82,82,82,100]",1591474215,"Knowledge panel, Local pack, Reviews, Video Carousel, FAQ"
werken bij de bart smit,13,13,50,81.17,0.00,https://socialbrothers.nl/6-conversieverhogende-technieken/schermafdruk-2016-11-10-10-24-18/,0,0,0.00,0,458000,"[25,0,100,0,0,0,25,0,0,0,50,0]",1589546729,"Image pack, Reviews"
augmented reality,13,13,6600,79.59,0.79,https://socialbrothers.nl/hoe-kan-je-augmented-reality-ar-toepassen-in-je-marketing/,59,6.57,46.80,0.19,87000000,"[67,81,67,44,44,81,100,100,67,81,81,81]",1591543565,"Knowledge panel, Reviews, Featured snippet, AdWords bottom, Video Carousel"
macbook werkt niet,13,13,50,78.32,0.00,https://socialbrothers.nl/wat-als-jouw-macbook-volume-niet-omhoog-kan/,0,0,0.00,0.15,826000,"[0,0,0,0,14,14,14,100,14,14,14,43]",1591293892,"Image pack, Video"
easy noise control,13,13,480,74.82,1.52,https://socialbrothers.nl/portf/easy-noise-control-redesign-webshop/,0,0,0.90,0.97,84,"[54,54,54,54,44,67,82,100,67,100,82,82]",1591388352,"Knowledge panel, Image pack, Site links, Reviews, Video Carousel"
spar university rotterdam,14,14,110,78.24,0.00,https://socialbrothers.nl/spar-university-app-een-groot-succes/,0,0,0.00,0,62,"[64,79,79,100,100,79,100,100,21,79,64,64]",1589662786,"Knowledge panel, Image pack, Site links"
website in development,14,14,50,63.5,0.00,https://socialbrothers.nl/dienst/website-development/,0,0,0.00,0.21,2660000000,"[0,20,0,100,0,0,20,40,20,0,20,20]",1590515532,"Image pack, Reviews, Featured snippet, AdWords top, Video Carousel, People also ask, FAQ"
bart smit werken bij,14,14,90,79.55,0.00,https://socialbrothers.nl/6-conversieverhogende-technieken/schermafdruk-2016-11-10-10-24-18/,0,0,0.00,0,1260000,"[0,33,67,0,0,100,33,0,67,0,0,0]",1590446684,"Image pack, Reviews"
life real,14,14,40,75,0.00,https://socialbrothers.nl/social-media-vs-real-life/,0,0,0.00,0,9030000000,"[100,100,0,100,100,100,100,0,100,0,0,100]",1590735198,"Knowledge panel, Local pack, Image pack, Reviews, Video Carousel"
snapchat op pc gebruiken,14,17,70,84.24,0.00,https://socialbrothers.nl/hoe-gebruik-je-de-snapchat-camera-op-zoom/,0,0,0.00,0.05,1150000,"[60,20,20,60,0,0,20,100,60,20,0,20]",1591497945,"Reviews, Video, Featured snippet"
hololens training,14,14,40,52.91,0.00,https://socialbrothers.nl/mixed-reality-hololens/,0,0,0.00,0,1480000,"[0,50,50,50,50,0,50,100,50,50,50,0]",1588760990,"Image pack, Site links, AdWords top, Shopping ads, Video Carousel"
voorbeelden augmented reality,14,14,90,63.45,0.00,https://socialbrothers.nl/hoe-augmented-reality-wereld-gaat-veranderen/,0,0,0.00,0.29,60700,"[33,100,11,11,11,11,22,33,11,11,11,11]",1589035179,"Image pack, Featured snippet"
werken bij site,14,14,170,60.81,4.42,https://socialbrothers.nl/wat-maakt-een-goede-werken-bij-website/,1,0.11,4.50,0.75,156000000,"[100,100,100,52,52,100,67,81,52,67,81,67]",1591229914,Reviews
macbook gaat niet meer aan,14,14,170,73.11,0.00,https://socialbrothers.nl/wat-als-jouw-macbook-volume-niet-omhoog-kan/,1,0.11,0.00,0.01,91,"[18,18,13,13,28,44,67,100,54,44,44,36]",1589697593,"Image pack, Reviews, Featured snippet, Video Carousel, FAQ"
hoe werkt taxidienst uber,15,15,50,81.99,0.00,https://socialbrothers.nl/uber-utrecht-mijn-eerste-keer/,0,0,0.00,0,161000,"[20,20,20,60,0,0,0,20,20,100,20,20]",1590838299,"Image pack, Video, Featured snippet"
pay2day online,15,15,40,59.57,0.00,https://socialbrothers.nl/blogs-in-de-spotlight/wdiy7m8t-300x300/,0,0,0.00,0,93,"[50,0,0,0,0,50,50,100,50,0,50,50]",1589430915,"Image pack, Site links, Reviews, Video"
apple vs spotify,15,15,40,84.57,0.00,https://socialbrothers.nl/spotify-vs-apple-music-en-de-rest/,0,0,0.00,0.03,336000000,"[100,9,9,9,9,9,9,27,9,9,36,9]",1590654988,"Featured snippet, Video Carousel"
snapchat steven,15,15,50,83,0.00,https://socialbrothers.nl/hoe-gebruik-je-de-snapchat-camera-op-zoom/,0,0,0.00,0,11800000,"[100,0,0,0,0,0,0,0,0,0,0,0]",1591209301,"Image pack, Reviews, Video Carousel"
bart smit werken,15,15,50,74.63,0.00,https://socialbrothers.nl/6-conversieverhogende-technieken/schermafdruk-2016-11-10-10-24-18/,0,0,0.00,0,416000,"[22,11,11,11,11,11,33,11,100,11,11,22]",1589916265,"Image pack, Reviews"
gestolen macbook pro,15,15,70,78.46,0.00,https://socialbrothers.nl/laptop-gestolen-wat-nu/,0,0,0.00,0,82,"[14,0,14,14,14,0,29,100,0,14,14,14]",1589485165,"Image pack, Site links, Video, FAQ"
